con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL
102_s.3384,S. 3384,102,International Population Stabilization and Reproductive Choice Act of 1992,1,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/3384?q=%7B%22search%22%3A%22International+Population+Stabilization+and+Reproductive+Choice+Act+of+1992%22%7D&s=5&r=1
102_s.38,S. 38,102,A bill to deny the People s Republic of China most-favored-nation trade treatment.,1,1,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-bill/38?q=%7B%22search%22%3A%22A+bill+to+deny+the+People%E2%80%99s+Republic+of+China+most-favored-nation+trade+treatment.%22%7D&r=3&s=10
102_s.amdt.1797,S.Amdt. 1797,102,Telephone Privacy Act of 1991,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/1797?s=6&r=1646
102_s.amdt.2985,S.Amdt. 2985,102,United States-China Act of 1992,1,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/2985?s=6&r=458
102_s.amdt.802,S.Amdt. 802,102,United States-China Act of 1991,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/802?s=6&r=2641
102_s.amdt.803,S.Amdt. 803,102,United States-China Act of 1991,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/803?s=6&r=2640
102_s.amdt.804,S.Amdt. 804,102,United States-China Act of 1991,1,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/804?s=6&r=2639
102_s.amdt.805,S.Amdt. 805,102,United States-China Act of 1991,0,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/805?s=6&r=2638
102_s.amdt.810,S.Amdt. 810,102,International Security and Economic Cooperation Act of 1991,2,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/810?s=6&r=2633
102_s.amdt.811,S.Amdt. 811,102,International Security and Economic Cooperation Act of 1991,1,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/811?s=6&r=2632
102_s.amdt.844,S. Amdt. 844,102,International Security and Economic Cooperation Act of 1991,6,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/844?s=6&r=2599
102_s.amdt.897,S.Amdt. 897,102,"Foreign Relations Authorization Act, Fiscal Years 1992 and 1993",0,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/897?s=6&r=2546
102_s.amdt.898,S.Amdt. 898,102,"Foreign Relations Authorization Act, Fiscal Years 1992 and 1993",0,0,0,,Unavailable,1,https://www.congress.gov/amendment/102nd-congress/senate-amendment/898?s=6&r=2545
102_s.con.res.107,S.Con.Res 107,102,"A concurrent resolution condemning the involvement of the military regime in Burma, also known as the Union of Myanmar, in the ongoing, horrifying abuses of human rights, the trafficking of illicit drugs, and the mass buildup of m",4,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-concurrent-resolution/107?s=10&r=37
102_s.con.res.136,S.Con.Res. 136,102,A concurrent resolution expressing the sense of the Congress in support of Taiwan's membership in the United Nations and other international organizations.,0,0,0,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-concurrent-resolution/136?s=6&r=8
102_s.con.res.19,S.Con.Res.,102,A concurrent resolution condemning the People s Republic of China s continuing violation of universal human rights principles.,17,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-concurrent-resolution/19?s=10&r=125
102_s.con.res.41,S.Con.Res.,102,"A concurrent resolution to express the sense of the Congress that Tibet, including those areas incorporated into the Chinese provinces of Sichuan, Yunnan, Gansu, and Qinghai that have historically been a part of Tibet, is an occupi",16,0,1,,Unavailable,1,https://www.congress.gov/bill/102nd-congress/senate-concurrent-resolution/41?s=10&r=103
