con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL,canonical_id,in_filter,legislation_id,matched_keywords
101_s.con.res.86,s.con.res.86,101,A concurrent resolution concerning ballistic missile proliferation by the People s Republic of China.,4.0,0.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-concurrent-resolution/86?s=10&r=74,101_s.con.res.86,True,101_s.con.res.86,china|chinese|people's republic of china
101_s.j.res.275,s.j.res.275,101,"S.J.Res.275 - A joint resolution designating May 13, 1990, as the ""National Day in Support of Freedom and Human Rights in China and Tibet.",50.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-joint-resolution/275?s=5&r=1,101_s.j.res.275,True,101_s.j.res.275,china
101_s.j.res.325,s.j.res.325,101,A joint resolution to disapprove of renewal of most-favored-nation status for the People's Republic of China (PRC).,1.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-joint-resolution/325?s=7&r=1,101_s.j.res.325,True,101_s.j.res.325,china|prc|people's republic of china
101_s.j.res.382,s.j.res.382,101,A joint resolution disapproving the recommendation of the President to extend nondiscriminatory treatment (most-favored-nation treatment) to the products of the People's Republic of China.,0.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-joint-resolution/382?s=8&r=1,101_s.j.res.382,True,101_s.j.res.382,china|people's republic of china
101_s.res.142,s.res.142,101,"A resolution condemning the brutal use of force by the Government of the People s Republic of China against unarmed Chinese students and workers demonstrating for democracy, and for other purposes.",29.0,0.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/142?s=10&r=217,101_s.res.142,True,101_s.res.142,china|chinese|people's republic of china
101_s.res.210,s.res.210,101,A resolution expressing the support of the Senate regarding democratic reforms and human rights on Taiwan.,1.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/210?s=9&r=1,101_s.res.210,False,,
101_s.res.211,s.res.211,101,A resolution to commend the Government of Hong Kong on its commitment to halting software piracy.,4.0,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/211?s=2&r=1,101_s.res.211,False,,
101_s.res.296,s.res.296,101,A resolution to express the sense of the Senate the support of Taiwan's membership in the General Agreement on Tariffs and Trade.,,0.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/296?q=%7B%22search%22%3A%22S.+Res.+296%22%7D&s=8&r=1,101_s.res.296,False,,
101_s.res.321,s.res.321,101,A resolution expressing the sense of the Senate concerning American policy toward Cambodia.,6.0,0.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/321?q=%7B%22search%22%3A%22S.Res.+321%22%7D&s=3&r=1,101_s.res.321,True,101_s.res.321,china
101_s.res.82,s.res.82,101,A resolution expressing the concern of the Senate for the ongoing human rights abuses in Tibet.,8.0,0.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-resolution/82?s=10&r=277,101_s.res.82,True,101_s.res.82,china|people's republic of china
